goodness 善良;美德  
plane 飞机  
with 对....;关于  
mend 修补;修理  
knife (pl.knives) 小刀 
robot 机器人  
body 身体  
broke (动词break的过去时)折断;打破  
lost 丢失的;丢去的  
tell 告诉;讲述  
round 球形的 ;圆的 
mummy (口语)妈妈  
pleasure 愉快;高兴  
food 食物  
drink 饮料 喝 
hungry 饥饿的  
thirsty 口渴的  
water 水;浇水  
eat 吃  
rice 米饭;大米  
bread 面包  
meat 肉  
tea 茶  
milk 牛奶  
glass 玻璃杯  
a glass of 一(玻璃)杯
would like 想要 
something pron某事(物)某东西  
porridge 粥;稀饭  
fish 鱼  
dumpling 饺子  
fruit 水果  
piece 一张(片;张)  
a piece of 一片(一张、块)
hamburger 汉堡包  
noodle 面条  
potato 马铃薯;土豆  
chips (口语)炸士豆儿条  
coke (口语)可口可乐  
coffee 咖啡  
madam 夫人;女士  
dear 亲爱的;可爱的  
ice 冰  
cream 奶油;乳脂  
ice cream 冰淇淋 
USA 美国  
different 不同的  
vegetable 蔬菜  
sometimes 有时  
sport 运动  
come on 来;过来 
ouch (突然感到病痛时发出的声音) 啊呀 
be good at 在.....方面(学得,做得)
basketball 蓝球  
easy 容易的  
pass 传递  
try 试(做);设法;努力  
yo-yo 溜溜球 (一种玩具) 
go 尝试(做某事)  
throw 投,掷  
hard 困难的  
ride 骑(自行车,马等)  
swim 游泳  
skate 滑冰,溜冰  
fly 放(风筝,飞机模型等)  
card 纸牌,卡片  
volleyball 排球  
jump 跳  
sing 唱,唱歌  
run 跑  
high 高的(地)  
then 那么,然后  
question 问题  
postal 邮政的  
code 密码,符号  
ski 滑雪  
tennis 网球(运动)  
table tennis 乒乓球 
roller-skating 滑旱冰  
chess 国际象棋  
(口语)(电影,运动等的)迷   
player 比赛者,选手  
team 队,组  
every 每一,每个的  
Friday 星期五  
make 做,制作  
make the bed 整理床铺
homework 家庭作业  
do homework 做作业 
read 读,阅读  
write 写  
sleep 睡,睡觉  
look for 寻找 
cook 烹调,煮,烧 炊事员,厨师 
talk 说话,谈话  
talk with 和....交谈 
open 打开  
close 关;闭  
talk photos 照象 
wear 穿  
Sunday 星期日  
park 公园  
toy 玩具;玩物  
lake 湖  
clear adj清晰的;清楚的;明亮的  
shop 商店  
closed 关着的  
day 日,一天  
Friday 星期五  
early adj. 早的(地)初期 
supermarket 超级市场  
Wednesday 星期三  
may 可以;可能;也许  
borrow 借  
from 从;从....起  
Thursday 星期四  
week 周;星期  
Monday 星期一  
Saturday 星期六  
Sunday 星期日  
hey 嘿;喂(唤起注意.表示惊讶或询问)  
dictionary 字典;词典  
back 回(原处) ;向后 
tomorrow n. adv. 明天;在明天
CD 激光唱片(缩写词)  
lot 许多  
a lot 非常 
give...a hand 给予.....帮助 
evening 傍晚;晚上  
from..to.. ...从.....到.....  
after class 课后 
help...with 帮助(某人)做(某事)  
model 模型;模范 ;样式 
park 公园  
rest 休息  
have a(good)rest 休息 
maths (英式拼法)数学  
math (美式拼法)数学  
all 全体;全部  
hard 努力  
fun 有趣的;愉快的  
yeah (口语)是的;嗯(yes)  
take 花费(时间)  
straight 直的  
use 用;使用;应用  
wheel 轮;机轮  
into 到.....里;向内  
music 音乐;乐曲  
boat 划船  
lake 湖  
into 到...里,向内  
worried 担心的,烦恼的  
save 救,挽救,节省  
ticket 票,券  
New York 纽约 
learn 学,学习  
learn...from 向...学习  
meeting 会,会议  
bring 带来,拿来  
foreign 外国的  
difference 不同,差异  
each 各自,各个  
each other 互相 
talk about 谈论,交谈 
USA 美国  
Australia 澳大利亚  
Canada 加拿大  
UK 联合王国  
Japan 日本  
America 美国  
a little 一点,少量 
French 法语  
great 伟大的,很大的,重要的  
the Great Wall 长城
hotel 旅馆,饭馆  
building 建筑物  
follow 跟随  
call 称呼,叫喊,打电话给 电话,通话 
family name 姓 
first 第一,首先,最初  
postcard 明信片  
teach 教,教书  
dinner 正餐,晚餐  
soon 不久,一会儿  
stay 停留(在某处)  
high school 中学 
Toronto 多伦多(加拿大港市)  
schoolboy (中小学的)男学生  
country 国家  
make friends 交朋友 
France 法国  
textbook 课本  
Englishman (pl.Englishmen)英国(男)人  
Australian 澳大利亚人  
Canadian 加拿大人  
city 城市  
foreigner 外国人  
visit 访问,参观,拜访  
word 词,单词  
well 好  
why 为什么  
English-speaking 说英语的  
letter 信  
hot 热的,辣的  
hot dog 热狗(红肠面包) 
not...at all 一点也不 
different 不同的  
kind 种,类  
a kind of 一种,一类
every 每一的,每个的  
meal 一餐,一顿饭  
noodle 面条  
vegetable 蔬菜  
restaurant 饭馆  
often 常常  
potato 马铃薯,土豆  
well 好,(身体)健康  
why 为什么  
because 因为  
housework 家务劳动  
machine 机器  
again 又,再  
make phone calls 打电话
wash 洗,漱洗  
dish 一道菜,盘,碟  
electronic 电子的  
mail 邮政,邮递  
smoke 吸烟,烟  
fog 雾  
smog 烟雾  
dance 跳舞  
living room 起居室 
dining room 餐厅 
driver 司机,驾驶员  
farmer 农民  
soldier 士兵,战士  
businessman 商人  
assistant 助手,助理  
a shop assistant 售货员,店员
nurse 护士  
postman 邮递员  
factory 工厂  
station 车站,所,站  
bus station 公共汽车站 
hospital 医院  
farm 农场  
post 邮政,邮寄,邮件  
office 办公室  
post office 邮局 
study 学习,研究  
party 聚会  
friendly 友好的  
also 也  
medicine 内服药,医学  
in the day 在白天
at night 在晚上,在夜里 
make money 赚钱 
weekend 周末  
job 工作  
writer 作家,作者  
cleaner 清洁工  
turn (依次轮流的)顺序,轮流  
grow 种植,生长  
baker 面包师  
artist 画家,艺术家  
hobby 业余爱好  
be (am,is,are)是,成为  
place 地点,地方  
weekday 工作日,平日(除星期六,日以外)  
when 什么时候,何时  
leave 离去,出发  
begin 开始,着手  
have sports 进行体育活动 
go to bed 睡觉
usually 通常  
right now 立刻,马上 
sometimes 有时  
take off 脱衣服 
after school 放学后,下课后 
get to 到达 
exercise 锻炼,做操,练习  
do morning exercises 做早操
shopping 买东西  
go shopping (去)买东西 
garden 花(果,菜)园  
be (am,is,are)是,成为  
over 结束,完了  
do (some) reading 朗读,阅读
living-room 起居室  
playground (学校的)操场  
walk 走,步行,散步  
news 新闻,消息  
match 比赛,竞赛  
quickly 迅速  
sun 太阳  
moon 月亮  
bridge 桥  
train 火车  
ship 船,轮船  
on foot 走路,步行 
holiday 假日,假期  
year 年  
by 乘车(船等)  
by plane 乘飞机 
by ship 乘船 
air 天空,空气  
by air 乘飞机 
sea 海,海洋  
by sea 乘船 
take time 花费(时间) 
how long 多久 
walk 走,步行,散步  
clean 干净的,清洁的  
story 故事  
far 远  
problem 问题,难题  
earlier ( early的比较级)更早的(地) 
ill 病的,不健康的  
tear (常用复数)眼泪,泪珠  
chicken 鸡,鸡肉  
tofu 豆腐  
fridge 电冰箱  
list 清单,一览表,名单,目录  
shopping list 购物清单 
buy 买  
kilo 千克,公斤  
sell 卖,售  
how much 多少,多少钱 
cheap 便宜的  
expensive 昂贵的  
tomato (pl.tomatoes)西红柿,蕃茄  
onion 洋葱  
carrot 胡萝卜  
pork 猪肉  
all day 一整天,一天到晚 
a lot of 许多,很多
open 开着的  
market 市场,集市  
dollar 元(美,加拿大等国的货币单位)  
cent (货币)分  
pound 镑(重量单位)  
health 健康,卫生  
fast 快的(地),迅速的(地)  
of course 当然,自然的事 
travel 旅行  
safe 安全的,平安的  
minibus 小型公共汽车  
and so on 等等
price 价格,价钱  
example 例子,榜样  
for example 例如 
stand 站,立  
field 地,田地  
one day (过去或将来)有一天,某一天 
job 工作  
bright 明亮的,灿烂的  
foreign 外国的  
sunglasses 太阳镜  
each 各自,各个  
language 语言  
helpful 有帮助的,有益的  
get on (a bus)
business 商业,生意,事物  
company 公司  
manager 经理,负责人  
century 世纪,百年  
lesson 课,功课  
fun 有趣  
when 当......时  
traffic 交通  
bad 坏的  
matter (否定句,疑问句)要紧,有关系  
on time 准时 
September 九月  
happy 快乐的,幸福的  
best 最好的(地)  
wish 祝愿,希望,想要  
second adj 第二(的) 
idea 主意,想法,意见  
last 最后的,刚过去的  
given name 名字 
mean 表示...的意思,意味着  
meaning 意思,意义,含义  
important 重要的,重大的  
use 用,使用,运用  
Ms 女士(用于婚姻状况不明的女名)  
before 在..之前,以前  
never 从来,决不  
just 刚刚,方才  
third adj 第三的 
afraid 害怕的  
live 居住  
sound 声音,听起来  
have to 不得不,必须 
time 次数  
more 更,更加  
not...any more 不再 
laugh 笑,大笑,笑声  
waste 浪费,废弃物  
a waste of time
fifth 第五(的)  
trip 旅游,旅行  
field trip 野外旅游 
hometown 故乡,家乡  
discuss 讨论,议论  
fish 钓鱼  
fishing 钓鱼  
go fishing 去钓鱼 
east 东方(的),东部(的)  
agree 同意,赞成  
boating 划船  
go boating 去划船 
maybe 也许,大概  
mountain 山,高山  
hike 远足,徒步旅行  
hiking 徒步旅行  
go hiking 去徒步旅行 
picnic 野餐  
the day after tomorrow
top 顶部  
problem 问题,难题  
quick 快的,迅速的  
quickly 快地,迅速地  
start 开始,着手  
trip over (被...)绊倒 
tired 累,疲乏  
hurry 赶快,慌忙  
hurry up 赶快 
tie 捆,(系,栓)紧  
die 死亡  
city 城市  
take 花费(时间),消耗  
eighth 第八  
salesgirl 女售货员  
far 远的(地)  
beautiful 美丽的,漂亮的  
together 一起  
autumn 秋天,秋季  
festival 节日(的),喜庆(的)  
ninth adj 第九(的) 
free 自由的,空闲的  
mid-autumn 中秋  
mooncake 月饼  
nut 坚果,坚果核  
sweet 甜的,可爱的  
inside 在...里面  
store (美)商店,大百货公司  
come over 过来,顺便来访 
thanksgiving 感谢,感恩  
get together 相聚 
October n. 十月 
taste 品尝,有...味道  
pie (用肉或水果做成的)馅饼  
outside 在...外  
in the open air
harvest 收获  
than 比....,比较....  
another 另一个(的),又一个(的)  
delicious 美味的,可口的  
better (good或well的比较级)更好的  
pumpkin 南瓜  
twelfth adj 第十二(的) 
turkey 火鸡  
celebrate 庆祝  
wait 等,等待  
feed 喂,饲养  
cow 母牛,乳牛  
interesting 有趣的,有意思的  
tractor 拖拉机  
taxi 出租汽车  
slow 慢的,缓慢的  
slowly 缓慢地  
grow 种植,生长  
wheat 小麦  
country 乡村,郊外  
hear 听见,听说  
bleat 羊叫(声)  
agree with 同意...意见(想法) 符合,一致
corn (美)玉米,谷类庄稼  
most (many或much的最高级)最多的  
summer 夏天,夏季  
winter 冬天,冬季  
stop 停止,中止  
pick 采摘(花,果实)  
exciting 令人兴奋的  
town 城镇  
star 星星,恒星  
until 到...为止  
till (直)到...为止  
college 学院,高等专科学校  
farming 农业,务农  
somebody 某人,有人  
nobody 没有人  
shall (我,我们)将,会  
zoo 动物园  
nothing 没有什么,没有东西  
dolphin 海豚  
show 演出,展览 给...看,出示 
gate 大门  
land 陆地,土地  
just 仅仅,只有  
grass 草,草地  
dangerous 危险的  
